,atribut 1,atribut 2,atribut 3,atribut 4,kelas
147,19.2,50.625,13.4,20.7,1.0
148,10.2,32.5,13.0,24.0,0.0
149,6.6,33.125,14.8,15.0,0.0
150,11.4,40.0,9.8,13.5,0.0
151,8.4,56.875,12.2,13.2,0.0
152,10.2,50.0,15.8,18.6,0.0
153,10.8,37.5,15.0,13.8,0.0
154,19.2,78.125,14.0,18.6,1.0
155,22.2,63.75,9.0,18.9,1.0
156,19.2,76.25,11.0,20.4,1.0
157,6.6,35.0,13.0,14.1,0.0
158,20.4,66.875,9.6,24.0,1.0
159,9.6,58.75,11.0,15.9,0.0
160,10.2,61.875,13.4,12.9,0.0
161,6.0,61.25,13.0,12.0,0.0
162,10.8,70.0,15.6,18.3,1.0
163,10.8,62.5,13.6,9.0,0.0
164,6.0,64.375,8.2,14.7,0.0
165,10.2,41.25,14.6,16.5,0.0
166,7.2,45.0,14.0,19.5,0.0
167,21.0,66.25,9.4,23.4,1.0
168,18.6,58.75,16.0,21.3,1.0
169,12.0,63.75,9.8,16.8,1.0
170,8.4,50.625,14.6,14.4,0.0
171,19.2,58.75,12.6,23.4,1.0
172,6.6,40.0,11.4,23.7,0.0
173,19.8,57.5,9.4,20.1,1.0
174,19.2,51.875,11.2,21.6,1.0
175,11.4,32.5,15.4,20.1,0.0
176,7.2,67.5,8.2,18.6,1.0
177,22.8,45.0,11.0,19.8,0.0
178,16.8,48.125,12.6,19.2,0.0
179,10.2,46.875,11.0,23.7,0.0
180,6.6,44.375,13.0,17.1,0.0
181,23.4,70.0,11.0,19.2,1.0
182,12.0,69.375,16.0,18.3,1.0
183,9.6,66.875,8.8,13.8,0.0
184,10.8,36.875,13.0,23.4,0.0
185,21.6,47.5,13.4,19.5,1.0
186,10.2,53.125,8.2,13.5,0.0
187,24.0,42.5,11.4,23.7,0.0
188,10.2,57.5,8.2,22.2,0.0
189,20.4,41.875,12.6,18.0,0.0
190,21.0,61.25,15.0,20.4,1.0
191,7.2,66.875,12.4,16.2,0.0
192,6.0,48.75,11.4,13.5,0.0
193,18.0,66.25,13.4,21.9,1.0
194,21.6,50.625,13.4,21.0,1.0
195,17.4,73.125,10.4,24.6,1.0
196,23.4,71.25,9.8,23.7,1.0
197,10.2,47.5,15.0,19.8,0.0
198,6.6,61.25,9.0,18.0,0.0
199,12.0,65.0,12.2,20.7,1.0
200,23.4,57.5,11.0,22.8,1.0
201,18.6,47.5,10.0,18.6,0.0
202,6.0,66.25,8.8,17.4,0.0
203,22.2,64.375,16.0,19.2,1.0
204,10.2,35.0,14.2,19.5,0.0
205,19.8,41.875,14.2,18.9,0.0
206,22.8,54.375,9.2,24.0,1.0
207,18.0,80.625,14.6,22.2,1.0
208,9.6,41.25,13.8,22.5,0.0
209,6.0,56.875,10.0,24.0,0.0
210,21.0,58.75,8.4,23.7,1.0
211,7.2,57.5,15.8,23.1,0.0
212,9.6,46.875,11.4,22.8,0.0
213,22.8,73.75,10.2,18.0,1.0
214,10.8,46.25,10.2,12.0,0.0
215,10.8,53.125,11.2,14.7,0.0
216,24.0,39.375,12.4,23.4,0.0
217,23.4,70.625,11.0,22.5,1.0
218,10.2,64.375,8.4,13.5,0.0
219,21.6,53.125,11.4,23.1,1.0
220,7.2,65.625,10.0,20.1,0.0
221,18.6,67.5,9.0,23.7,1.0
222,22.2,55.0,10.2,21.3,1.0
223,6.6,59.375,11.8,22.5,0.0
224,9.0,65.0,9.0,13.5,0.0
225,9.0,53.125,12.2,18.6,0.0
226,10.8,51.25,8.4,12.0,0.0
227,10.8,43.75,9.8,17.4,0.0
228,10.2,42.5,10.0,14.1,0.0
229,7.2,46.875,12.8,23.7,0.0
230,12.0,48.125,10.2,15.9,0.0
231,8.4,65.0,16.0,19.2,0.0
232,18.6,60.0,9.6,23.1,1.0
233,10.2,58.75,10.0,12.6,0.0
234,24.0,81.25,8.6,21.6,1.0
235,6.6,43.75,13.8,14.1,0.0
236,7.8,50.0,9.8,16.8,0.0
237,9.6,46.25,8.8,21.6,0.0
238,10.2,51.875,13.8,23.1,0.0
239,9.0,36.25,15.6,24.0,0.0
240,18.6,48.75,14.4,20.1,1.0
241,9.0,41.875,13.6,12.9,0.0
242,8.4,33.125,14.6,14.4,0.0
243,21.6,41.875,11.4,21.0,0.0
244,8.4,51.25,11.4,14.1,0.0
245,7.8,39.375,9.4,12.3,0.0
246,11.4,40.0,11.4,24.0,0.0
247,20.4,77.5,11.8,18.9,1.0
248,19.8,61.875,9.6,23.4,1.0
249,22.2,48.125,15.0,22.2,1.0
250,10.2,44.375,11.2,15.0,0.0
251,20.4,51.875,16.0,18.0,1.0
252,12.0,38.125,10.8,17.7,0.0
253,7.8,46.875,14.2,23.7,0.0
254,11.4,58.125,14.6,23.7,1.0
255,9.0,50.625,12.2,14.1,0.0
256,7.2,42.5,9.4,22.5,0.0
257,6.0,60.625,8.4,15.6,0.0
258,9.0,68.125,15.8,18.6,1.0
259,7.8,56.875,9.2,21.6,0.0
260,22.2,40.625,10.2,20.4,0.0
261,12.0,37.5,12.0,14.7,0.0
262,7.8,35.0,12.4,21.0,0.0
263,21.0,70.625,15.4,20.7,1.0
264,18.0,36.875,10.0,13.2,0.0
265,15.6,48.75,16.2,14.4,0.0
266,19.8,53.125,9.2,23.4,1.0
267,12.0,48.75,10.2,19.8,0.0
268,21.0,51.25,8.6,22.2,1.0
269,18.6,40.0,11.8,22.2,0.0
270,23.4,73.75,13.6,23.1,1.0
271,22.2,78.75,13.6,22.2,1.0
272,22.8,49.375,14.8,21.6,1.0
273,6.6,44.375,16.0,17.4,0.0
274,6.0,54.375,10.8,17.7,0.0
275,24.0,41.25,10.4,24.0,0.0
276,18.6,78.75,15.6,22.8,1.0
277,20.4,51.875,13.4,20.1,1.0
278,23.4,65.625,9.6,23.4,1.0
279,7.2,51.875,9.2,23.1,0.0
280,13.8,50.625,13.2,15.0,0.0
281,20.4,44.375,9.0,21.0,0.0
282,19.2,76.875,8.8,21.9,1.0
283,23.4,69.375,11.8,22.8,1.0
284,24.0,49.375,14.2,23.7,1.0
285,11.4,56.875,12.0,17.1,0.0
286,20.4,46.25,13.8,18.6,0.0
287,9.6,35.0,15.2,17.7,0.0
288,6.0,35.625,14.6,20.1,0.0
289,22.8,60.625,14.6,20.1,1.0
290,18.6,75.625,8.4,23.1,1.0
291,7.2,45.0,9.0,12.3,0.0
292,22.2,73.125,11.2,21.9,1.0
293,8.4,40.0,15.0,18.6,0.0
294,8.4,50.625,16.0,17.4,0.0
295,18.6,79.375,9.8,20.7,1.0
296,18.0,75.0,15.8,22.5,1.0
297,6.0,43.125,10.0,15.3,0.0
298,7.8,61.875,14.4,18.6,0.0
299,6.6,68.75,14.8,20.4,1.0
300,10.2,56.875,15.8,19.5,0.0
301,10.2,40.0,14.0,16.8,0.0
302,8.4,50.0,15.0,12.6,0.0
303,18.6,41.875,11.8,22.2,0.0
304,7.8,33.125,14.4,18.6,0.0
305,10.2,48.125,15.8,23.1,0.0
306,21.6,71.875,13.4,24.0,1.0
307,23.4,75.625,14.8,18.0,1.0
308,9.6,35.625,10.0,23.4,0.0
309,12.0,49.375,9.6,13.8,0.0
310,22.8,75.0,12.8,19.5,1.0
311,20.4,80.625,15.4,18.9,1.0
312,19.2,38.75,8.8,18.6,0.0
313,21.6,44.375,10.6,22.2,0.0
314,24.0,61.25,9.6,19.5,1.0
315,10.2,70.0,11.2,17.1,1.0
316,21.6,67.5,14.8,20.1,0.0
317,21.6,73.75,11.2,22.5,1.0
318,22.8,80.625,13.0,20.7,1.0
319,10.2,61.25,10.6,17.7,0.0
320,19.8,50.0,12.6,19.2,1.0
321,22.2,80.0,15.8,18.9,1.0
322,9.6,41.875,12.6,12.9,0.0
323,19.2,66.25,12.8,22.2,1.0
324,8.4,67.5,13.0,21.0,1.0
325,6.0,61.25,9.6,12.9,0.0
326,19.2,41.875,14.4,22.8,0.0
327,7.8,38.75,15.6,15.9,0.0
328,9.0,65.0,10.2,20.4,1.0
329,7.8,36.25,12.6,21.6,0.0
330,9.6,50.625,9.6,19.8,0.0
331,9.6,48.75,13.0,19.5,0.0
332,10.2,45.0,13.0,22.2,0.0
333,11.4,42.5,13.0,17.1,0.0
334,21.0,76.25,15.2,23.4,1.0
335,20.4,41.875,8.6,20.1,0.0
336,7.2,65.0,12.0,22.8,0.0
337,22.2,55.625,12.0,22.5,1.0
338,10.8,51.25,15.2,14.1,0.0
339,20.4,69.375,11.0,19.2,1.0
340,9.0,56.875,10.4,15.3,0.0
341,22.2,73.75,15.8,20.7,1.0
342,19.2,53.75,13.8,21.0,1.0
343,21.0,51.875,10.2,19.5,1.0
344,6.6,46.875,15.4,15.3,0.0
345,11.4,34.375,13.4,15.6,0.0
346,22.2,40.625,8.4,18.3,0.0
347,7.2,40.0,13.4,20.1,0.0
348,21.0,69.375,11.6,23.1,1.0
349,7.8,63.75,14.2,13.5,0.0
350,7.8,58.125,12.6,20.4,0.0
351,6.6,53.125,15.4,21.3,0.0
352,21.6,39.375,8.2,19.8,0.0
353,6.0,42.5,10.0,21.3,0.0
354,20.4,78.125,9.6,20.1,1.0
355,10.2,69.375,11.8,13.8,1.0
356,8.4,46.875,9.6,22.5,0.0
357,21.6,55.0,13.6,20.4,1.0
358,20.4,47.5,15.2,22.8,1.0
359,18.0,46.875,13.8,21.6,0.0
360,24.0,82.5,15.6,19.5,1.0
361,10.8,58.75,15.8,21.0,0.0
362,24.0,58.125,10.4,18.9,1.0
363,12.0,65.625,10.0,15.6,1.0
364,10.8,51.25,14.0,18.9,0.0
365,11.4,48.125,9.8,14.4,0.0
366,24.0,81.25,15.6,21.3,1.0
367,6.0,41.875,13.6,19.8,0.0
368,8.4,46.25,15.0,15.0,0.0
369,24.0,69.375,8.6,24.0,1.0
370,12.0,41.25,11.8,24.0,0.0
371,11.4,62.5,14.2,15.9,0.0
372,18.0,63.75,14.6,20.1,1.0
373,22.8,72.5,12.2,19.5,1.0
374,22.2,48.125,11.4,18.9,1.0
375,10.8,69.375,15.6,18.0,1.0
376,11.4,46.25,8.8,14.7,0.0
377,8.4,60.0,15.2,22.5,0.0
378,21.0,73.125,15.0,19.8,1.0
379,6.6,43.125,15.8,9.9,0.0
380,10.8,36.875,15.4,22.8,0.0
381,21.0,81.875,14.2,18.9,1.0
382,23.4,51.25,12.2,22.8,1.0
383,19.8,38.75,14.8,18.6,0.0
384,8.4,63.125,11.4,19.5,0.0
385,6.6,38.125,13.8,20.7,0.0
386,22.2,60.0,11.8,22.5,1.0
387,19.2,58.125,13.8,21.9,1.0
388,23.4,39.375,12.8,18.9,0.0
389,21.6,68.75,11.8,23.7,1.0
390,11.4,56.875,14.0,16.2,0.0
391,8.4,55.625,12.6,19.5,0.0
392,19.8,79.375,15.2,19.5,1.0
393,10.8,66.875,12.8,18.9,1.0
394,20.4,50.0,12.8,20.1,1.0
395,6.0,60.625,10.2,13.8,0.0
396,24.0,39.375,15.8,18.9,0.0
397,8.4,50.625,9.0,21.9,0.0
398,21.0,58.75,12.2,18.3,1.0
399,7.2,40.0,11.0,18.3,0.0
400,11.4,34.375,11.8,13.5,0.0
401,10.8,55.0,13.4,13.2,0.0
402,19.8,72.5,9.0,21.6,1.0
403,24.0,81.25,10.8,24.0,1.0
404,6.6,52.5,12.8,19.2,0.0
405,10.2,68.125,13.4,22.2,1.0
406,20.4,72.5,12.6,20.1,1.0
407,6.0,40.625,15.2,22.2,0.0
408,6.6,35.0,10.8,14.4,0.0
409,21.6,80.0,12.8,21.9,1.0
410,11.4,59.375,15.2,17.1,0.0
411,22.2,48.125,14.8,19.5,1.0
412,18.0,41.25,16.0,23.4,0.0
413,20.4,56.875,10.0,20.7,1.0
414,8.4,36.25,8.2,18.6,0.0
415,21.0,71.25,9.4,23.4,1.0
416,7.2,38.125,10.4,19.8,0.0
417,8.4,40.625,8.8,18.0,0.0
418,22.8,55.625,11.2,18.9,1.0
419,12.0,53.75,14.8,21.3,0.0
420,18.0,68.75,8.6,18.0,1.0
421,10.2,58.125,16.0,15.3,0.0
422,18.6,73.125,14.8,21.9,1.0
423,21.0,51.875,9.8,20.4,1.0
424,22.2,53.75,9.6,21.3,1.0
425,9.6,52.5,13.2,16.2,0.0
426,6.6,41.25,9.8,13.8,0.0
427,21.6,71.875,8.6,18.6,1.0
428,9.0,61.875,14.8,20.7,0.0
429,24.0,45.625,8.4,22.8,1.0
430,10.8,36.875,12.2,14.7,0.0
431,7.2,33.125,9.6,15.6,0.0
432,9.6,43.125,9.0,18.9,0.0
433,7.2,45.0,9.8,14.4,0.0
434,23.4,68.75,13.6,23.7,0.0
435,24.0,59.375,14.6,22.2,1.0
436,7.8,43.125,10.6,18.3,0.0
437,20.4,47.5,12.4,18.0,0.0
438,9.0,46.25,15.4,19.8,0.0
439,9.6,35.0,8.4,18.3,0.0
440,21.6,71.25,15.2,19.5,1.0
441,11.4,62.5,9.2,12.3,0.0
442,7.8,58.125,14.4,13.2,0.0
443,10.2,63.75,12.8,13.5,0.0
444,10.8,70.0,9.6,16.5,1.0
445,19.2,42.5,10.0,22.5,0.0
446,18.0,49.375,14.6,22.5,1.0
447,6.0,66.25,13.2,21.6,0.0
448,10.2,40.0,9.4,13.8,0.0
449,20.4,52.5,9.0,23.4,1.0
450,19.2,58.125,10.8,19.2,1.0
451,10.8,42.5,12.6,15.3,0.0
452,18.0,44.375,15.8,21.0,0.0
453,11.4,68.125,9.8,12.9,1.0
454,7.8,60.0,14.0,20.1,0.0
455,21.6,66.875,14.0,24.0,1.0
456,10.2,48.75,8.4,18.6,0.0
457,11.4,46.25,8.6,18.3,0.0
458,19.8,64.375,16.0,19.2,1.0
459,6.0,66.875,9.4,18.3,0.0
460,23.4,60.625,11.8,23.1,1.0
461,19.8,62.5,14.8,22.2,1.0
462,12.6,44.375,15.2,11.1,0.0
463,11.4,46.875,13.4,20.7,0.0
464,20.4,73.125,10.2,19.8,1.0
465,23.4,61.25,11.8,20.7,1.0
466,7.8,56.25,8.2,15.3,0.0
467,24.0,49.375,10.2,20.7,1.0
468,22.2,44.375,14.8,23.7,0.0
469,9.6,56.25,11.6,23.1,0.0
470,11.4,38.75,8.0,13.8,0.0
471,21.6,82.5,11.2,19.2,1.0
472,22.8,48.75,8.6,24.0,1.0
473,11.4,51.25,15.8,18.3,0.0
474,21.0,63.75,11.2,21.9,1.0
475,9.0,70.0,15.4,17.1,1.0
476,21.6,49.375,15.6,20.4,1.0
477,6.0,68.75,13.6,13.2,0.0
478,12.0,43.125,13.6,14.1,0.0
479,10.8,40.0,14.8,20.1,0.0
480,7.8,46.25,11.6,18.3,0.0
481,22.8,38.75,12.2,21.9,0.0
482,21.6,57.5,9.0,20.7,1.0
483,21.0,74.375,12.8,21.9,1.0
484,21.6,81.875,13.0,23.4,1.0
485,7.2,52.5,9.4,21.6,0.0
486,10.2,50.625,8.6,14.7,0.0
487,6.0,66.875,11.6,20.4,0.0
488,21.0,38.75,9.6,21.3,0.0
489,19.2,61.25,8.2,18.0,1.0
490,12.0,47.5,15.2,18.0,0.0
491,8.4,60.625,14.8,19.5,0.0
492,6.0,67.5,13.2,19.5,0.0
493,21.6,40.0,10.6,18.0,0.0
494,18.0,58.125,8.6,20.4,1.0
495,6.6,52.5,12.6,13.8,0.0
496,19.8,55.0,16.0,22.2,1.0
497,21.0,46.25,10.4,18.0,0.0
498,6.0,65.625,8.8,16.2,0.0
499,18.0,57.5,12.6,21.9,1.0
500,22.2,76.25,12.2,18.0,1.0
501,12.0,56.25,13.8,13.8,0.0
502,12.0,53.75,14.0,18.6,0.0
503,22.8,68.125,13.2,18.9,1.0
504,19.8,63.125,11.0,21.0,1.0
505,12.0,51.25,11.0,16.8,0.0
506,20.4,48.75,11.8,21.0,1.0
507,22.2,45.0,15.0,21.3,0.0
508,10.2,48.125,8.8,12.0,0.0
509,19.8,77.5,11.0,19.5,1.0
510,9.0,33.125,14.8,15.3,0.0
511,8.4,42.5,8.8,18.3,0.0
512,12.0,33.125,15.2,21.9,0.0
513,9.0,46.25,8.8,12.6,0.0
514,19.8,65.625,12.8,20.7,1.0
515,12.0,68.75,13.2,16.5,1.0
516,22.2,72.5,15.0,19.5,1.0
517,18.0,67.5,8.2,21.6,1.0
518,22.8,80.0,13.6,23.4,1.0
519,7.2,37.5,9.2,17.7,0.0
520,22.2,75.0,13.0,18.9,1.0
521,18.6,53.75,14.8,22.8,1.0
522,20.4,54.375,10.2,22.5,1.0
523,6.0,38.125,9.8,16.5,0.0
524,18.6,63.75,12.0,22.2,1.0
525,19.8,45.0,10.4,24.0,0.0
526,22.2,75.625,10.2,21.9,1.0
527,6.0,45.0,15.6,16.2,0.0
528,22.2,60.0,9.2,18.3,1.0
529,18.6,81.875,12.2,22.5,1.0
530,20.4,80.625,11.2,21.3,1.0
531,6.6,63.75,9.2,22.2,0.0
532,19.8,70.0,10.6,24.0,1.0
533,6.0,59.375,13.0,14.1,0.0
534,12.0,58.125,9.8,15.9,0.0
535,7.2,35.625,10.0,16.8,0.0
536,22.2,78.125,13.8,21.0,1.0
537,21.0,80.625,10.8,19.5,1.0
538,19.2,72.5,13.2,20.4,1.0
539,10.2,57.5,9.4,12.3,0.0
540,10.2,60.625,15.2,17.4,0.0
541,18.6,55.0,9.2,22.5,1.0
542,12.0,47.5,13.0,16.8,0.0
543,9.0,49.375,11.6,14.1,0.0
544,10.8,38.75,15.6,23.7,0.0
545,6.0,34.375,8.2,24.0,0.0
546,22.2,58.75,10.4,18.6,1.0
547,22.8,46.25,10.0,18.0,1.0
548,19.2,38.75,14.2,23.7,0.0
549,9.6,33.75,15.2,19.8,0.0
550,9.0,52.5,15.4,22.2,0.0
551,8.4,47.5,13.8,20.1,0.0
552,19.8,62.5,8.2,19.5,1.0
553,21.6,61.875,15.0,24.0,1.0
554,24.0,40.625,10.6,22.2,0.0
555,11.4,62.5,9.8,12.9,0.0
556,19.2,75.625,10.6,21.9,1.0
557,8.4,64.375,8.0,15.0,0.0
558,19.2,51.25,12.2,22.8,1.0
559,10.8,38.125,10.4,18.0,0.0
560,11.4,34.375,9.4,17.7,0.0
561,19.8,72.5,12.8,24.0,1.0
562,24.0,74.375,14.4,21.6,1.0
563,20.4,46.25,15.8,19.2,0.0
564,18.0,58.75,13.6,21.9,1.0
565,18.0,61.25,14.4,18.6,1.0
566,18.0,49.375,8.2,21.6,1.0
567,24.0,44.375,9.2,19.8,0.0
568,9.0,40.625,13.6,12.9,0.0
569,22.8,77.5,8.2,18.0,1.0
570,6.6,36.875,11.4,19.2,0.0
571,22.2,76.25,10.2,18.3,1.0
572,11.4,54.375,10.0,21.6,0.0
573,9.6,66.875,10.6,21.9,1.0
574,19.2,56.25,13.2,21.3,1.0
575,19.8,43.125,12.6,23.7,0.0
576,20.4,46.25,12.8,21.6,0.0
577,21.0,71.875,8.6,24.0,1.0
578,7.8,55.625,8.6,21.3,0.0
579,24.0,46.25,11.6,20.7,1.0
580,19.8,73.125,13.2,20.7,1.0
581,7.2,69.375,13.8,22.8,1.0
582,10.2,32.5,14.2,21.0,0.0
583,9.0,65.0,13.2,13.5,0.0
584,6.6,64.375,16.0,14.7,0.0
585,22.8,61.25,12.2,21.9,1.0
586,6.0,66.25,11.6,15.6,0.0
587,11.4,45.0,15.6,17.7,0.0
588,8.4,69.375,9.2,12.0,0.0
589,9.6,60.625,16.0,23.4,0.0
590,22.8,66.875,8.2,22.8,1.0
591,6.6,45.0,11.6,13.5,0.0
592,9.0,45.625,11.2,20.7,0.0
593,10.2,56.25,10.6,21.6,0.0
594,10.2,48.125,14.8,15.9,0.0
595,8.4,51.25,9.4,23.1,0.0
596,19.8,41.25,16.0,22.2,0.0
597,23.4,73.75,13.0,24.0,1.0
598,8.4,50.0,8.2,23.4,0.0
599,9.6,35.0,8.6,20.4,0.0
600,22.2,60.625,10.0,21.6,1.0
601,9.0,48.125,10.4,23.7,0.0
602,8.4,45.625,10.2,12.3,0.0
603,24.0,61.25,16.0,21.6,1.0
604,22.2,61.25,13.4,19.2,1.0
605,23.4,58.125,9.6,19.8,1.0
606,10.8,50.0,12.8,18.0,0.0
607,24.0,52.5,14.2,19.2,1.0
608,23.4,46.875,12.2,20.1,1.0
609,7.2,39.375,13.6,20.4,0.0
610,7.2,61.875,14.2,15.6,0.0
611,18.0,75.0,14.6,21.3,1.0
612,6.6,65.625,15.6,22.2,0.0
613,6.6,53.125,11.6,16.2,0.0
614,7.2,34.375,8.2,15.0,0.0
615,22.8,73.125,10.6,20.1,1.0
616,19.8,77.5,12.0,18.6,1.0
617,6.6,53.125,13.6,14.7,0.0
618,10.8,64.375,14.2,14.7,0.0
619,21.0,40.0,9.4,19.2,0.0
620,20.4,60.0,9.6,23.1,1.0
621,21.0,38.75,11.6,22.2,0.0
622,6.6,47.5,11.6,12.0,0.0
623,8.4,52.5,14.6,23.1,0.0
624,19.2,72.5,13.0,24.0,1.0
625,21.0,66.25,14.0,18.9,1.0
626,20.4,64.375,14.8,18.0,1.0
627,18.0,40.625,14.4,21.9,0.0
628,22.8,80.625,8.0,22.5,1.0
629,8.4,54.375,12.4,16.8,0.0
630,9.0,51.25,13.2,15.9,0.0
631,18.0,73.75,9.2,22.8,1.0
632,8.4,49.375,10.8,16.5,0.0
